Snap SubfindID redshift Mstar SFR IsCentral
95 0 0.0485 2.343526e+12 0.0000 1
95 1 0.0485 4.468293e+11 0.6665 0
95 2 0.0485 1.288357e+11 0.6786 0
95 3 0.0485 2.179811e+11 1.0452 0
95 4 0.0485 1.606338e+11 1.6165 0
95 5 0.0485 1.582485e+11 0.0000 0
95 6 0.0485 1.257588e+11 0.0000 0
95 7 0.0485 1.486214e+11 0.0000 0
95 8 0.0485 2.030931e+11 0.0000 0
95 9 0.0485 6.330323e+10 0.0000 0
95 10 0.0485 5.565905e+10 0.0000 0
95 11 0.0485 6.546787e+10 0.0000 0
95 12 0.0485 1.149144e+11 0.0000 0
95 13 0.0485 1.057351e+11 0.0000 0
95 14 0.0485 6.087114e+10 0.0497 0
95 15 0.0485 8.462296e+10 0.0000 0
95 16 0.0485 4.126570e+10 0.0000 0
95 17 0.0485 3.505050e+10 0.0066 0
95 18 0.0485 4.665483e+10 0.0000 0
95 19 0.0485 6.034204e+10 0.0000 0
95 20 0.0485 3.292490e+10 0.0000 0
95 21 0.0485 3.658494e+10 0.0000 0
95 22 0.0485 3.453714e+10 0.0000 0
95 23 0.0485 2.758731e+10 0.0000 0
95 24 0.0485 2.934600e+10 14.4037 0
95 25 0.0485 2.770978e+10 0.0000 0
95 26 0.0485 2.949255e+10 0.0000 0
95 27 0.0485 2.311264e+10 0.0000 0
95 28 0.0485 2.061162e+10 0.2367 0
95 29 0.0485 2.054820e+10 0.0000 0
95 30 0.0485 1.480483e+10 0.2936 0
95 31 0.0485 3.395978e+10 0.0000 0
95 32 0.0485 2.075243e+10 0.5419 0
95 33 0.0485 1.983487e+10 1.0541 0
95 34 0.0485 1.960251e+10 0.0000 0
95 35 0.0485 1.057648e+10 2.3490 0
95 36 0.0485 7.335844e+09 1.2502 0
95 37 0.0485 3.171253e+10 0.0000 0
95 38 0.0485 1.517724e+10 0.0000 0
95 39 0.0485 6.488508e+09 0.2560 0
95 40 0.0485 2.674024e+10 0.0000 0
95 41 0.0485 1.442525e+10 0.0000 0
95 42 0.0485 3.561141e+10 0.0000 0
95 43 0.0485 1.613727e+10 0.1488 0
95 44 0.0485 1.051582e+10 0.0326 0
95 45 0.0485 2.081537e+10 0.0000 0
95 46 0.0485 3.471160e+10 0.0000 0
95 47 0.0485 2.227037e+10 0.0000 0
