Snap SubfindID redshift Mstar SFR IsCentral
99 0 0.0000 2.418574e+12 0.1958 1
99 1 0.0000 3.798496e+11 0.0881 0
99 2 0.0000 4.259327e+11 5.2942 0
99 3 0.0000 1.204463e+11 2.1429 0
99 4 0.0000 9.265538e+10 0.2838 0
99 5 0.0000 1.294705e+11 0.3852 0
99 6 0.0000 2.151291e+11 2.1584 0
99 7 0.0000 1.263899e+11 0.0000 0
99 8 0.0000 1.538830e+11 0.0000 0
99 9 0.0000 1.495618e+11 0.0000 0
99 10 0.0000 1.672196e+11 1.0757 0
99 11 0.0000 1.885279e+11 0.0000 0
99 12 0.0000 5.551545e+10 0.0000 0
99 13 0.0000 6.311165e+10 0.0000 0
99 14 0.0000 1.161009e+11 0.0000 0
99 15 0.0000 4.963888e+10 0.0000 0
99 16 0.0000 6.499467e+10 0.0000 0
99 17 0.0000 5.453918e+10 0.0000 0
99 18 0.0000 6.049163e+10 0.0175 0
99 19 0.0000 1.035038e+11 0.0000 0
99 20 0.0000 2.892257e+10 0.1228 0
99 21 0.0000 8.332335e+10 0.0000 0
99 22 0.0000 3.312220e+10 0.0000 0
99 23 0.0000 7.795745e+10 0.0000 0
99 24 0.0000 2.223917e+10 2.0387 0
99 25 0.0000 4.656674e+10 0.0000 0
99 26 0.0000 3.437926e+10 0.0000 0
99 27 0.0000 2.856650e+10 0.0000 0
99 28 0.0000 2.801966e+10 0.0000 0
99 29 0.0000 2.413546e+10 0.0023 0
99 30 0.0000 3.639163e+10 0.0000 0
99 31 0.0000 5.576228e+10 0.0000 0
99 32 0.0000 3.035879e+10 0.4512 0
99 33 0.0000 2.772990e+10 0.0000 0
99 34 0.0000 3.399204e+10 0.0000 0
99 35 0.0000 2.938682e+10 0.0000 0
99 36 0.0000 2.105881e+10 0.4063 0
99 37 0.0000 1.211100e+10 2.2298 0
99 38 0.0000 1.567121e+10 0.1221 0
99 39 0.0000 2.058972e+10 0.0000 0
99 40 0.0000 2.309632e+10 0.0000 0
99 41 0.0000 3.373165e+10 7.3130 0
99 42 0.0000 5.725571e+09 1.5167 0
99 43 0.0000 2.056807e+10 1.8270 0
99 44 0.0000 1.917235e+10 0.0000 0
99 45 0.0000 3.112881e+10 0.0000 0
