Snap SubfindID redshift Mstar SFR IsCentral
91 0 0.0994 1.510661e+12 0.6124 1
91 1 0.0994 5.378024e+11 29.1029 0
91 2 0.0994 2.714073e+11 0.4570 0
91 3 0.0994 1.673631e+11 0.0000 0
91 4 0.0994 9.141937e+10 0.0000 0
91 5 0.0994 1.055212e+11 0.0000 0
91 6 0.0994 1.565705e+11 0.0000 0
91 7 0.0994 1.449914e+11 0.0291 0
91 8 0.0994 9.082526e+10 0.0000 0
91 9 0.0994 1.182762e+11 0.0000 0
91 10 0.0994 1.585480e+11 0.6603 0
91 11 0.0994 7.790052e+10 0.1263 0
91 12 0.0994 8.050915e+10 0.0000 0
91 13 0.0994 6.900296e+10 0.0000 0
91 14 0.0994 1.206660e+11 0.0000 0
91 15 0.0994 6.958899e+10 0.0000 0
91 16 0.0994 7.784936e+10 0.0000 0
91 17 0.0994 3.773084e+10 0.0000 0
91 18 0.0994 4.569518e+10 0.0000 0
91 19 0.0994 3.752445e+10 0.9665 0
91 20 0.0994 2.557139e+10 0.0000 0
91 21 0.0994 4.289555e+10 0.0000 0
91 22 0.0994 8.019383e+10 0.0000 0
91 23 0.0994 6.693648e+10 15.3269 0
91 24 0.0994 3.643484e+10 0.0000 0
91 25 0.0994 4.374666e+10 0.0000 0
91 26 0.0994 4.308670e+10 0.0000 0
91 27 0.0994 4.742405e+10 0.0000 0
91 28 0.0994 4.696719e+10 0.0000 0
91 29 0.0994 2.659625e+10 0.0000 0
91 30 0.0994 2.863984e+10 0.0000 0
91 31 0.0994 1.364040e+10 1.1784 0
91 32 0.0994 2.301316e+10 4.6792 0
91 33 0.0994 2.761830e+10 0.0561 0
91 34 0.0994 2.607728e+10 1.5444 0
91 35 0.0994 1.890697e+10 0.0000 0
91 36 0.0994 1.067875e+10 2.2748 0
91 37 0.0994 1.283958e+10 0.4209 0
91 38 0.0994 1.046034e+10 2.1589 0
91 39 0.0994 3.118487e+10 0.0000 0
91 40 0.0994 3.518625e+10 0.0000 0
91 42 0.0994 1.265297e+10 1.3364 0
91 43 0.0994 2.960223e+10 0.0000 0
91 44 0.0994 9.872511e+09 4.2889 0
91 45 0.0994 2.607164e+10 0.0000 0
91 46 0.0994 1.691768e+10 0.0000 0
91 47 0.0994 7.850412e+09 0.1152 0
91 48 0.0994 1.465476e+10 0.0000 0
91 49 0.0994 9.764447e+09 0.0000 0
91 50 0.0994 2.149851e+10 0.0000 0
91 51 0.0994 2.309731e+10 0.0000 0
91 52 0.0994 7.468209e+09 0.0000 0
91 53 0.0994 6.171223e+09 0.0482 0
91 54 0.0994 8.732465e+09 0.2067 0
91 55 0.0994 1.757216e+10 0.0000 0
91 56 0.0994 4.811222e+09 1.4950 0
91 57 0.0994 1.199064e+10 0.0000 0
91 58 0.0994 9.779294e+09 0.1698 0
91 59 0.0994 9.896328e+09 0.0000 0
91 60 0.0994 1.593081e+10 0.0000 0
91 61 0.0994 6.279670e+09 0.3747 0
91 62 0.0994 9.000388e+09 0.0107 0
91 63 0.0994 1.021753e+10 0.0000 0
91 64 0.0994 1.292057e+10 0.0000 0
91 65 0.0994 1.572331e+10 0.0000 0
91 67 0.0994 1.553848e+10 0.0000 0
91 68 0.0994 1.018799e+10 0.0000 0
91 69 0.0994 8.620714e+09 0.0000 0
91 70 0.0994 7.551265e+09 0.0000 0
91 71 0.0994 5.994717e+09 0.0000 0
91 74 0.0994 1.232376e+10 0.0000 0
91 75 0.0994 1.107155e+10 0.0000 0
91 76 0.0994 1.101122e+10 0.0000 0
91 78 0.0994 7.629370e+09 0.0000 0
91 79 0.0994 6.587829e+09 0.0000 0
91 81 0.0994 3.416381e+09 0.0000 0
91 82 0.0994 6.528919e+09 0.5195 0
91 84 0.0994 6.790560e+09 0.0000 0
91 85 0.0994 6.182916e+09 0.0715 0
91 87 0.0994 8.000822e+09 0.0000 0
91 88 0.0994 4.372741e+09 0.0000 0
91 89 0.0994 6.200280e+09 0.0000 0
91 90 0.0994 3.865063e+09 0.0242 0
91 91 0.0994 8.872487e+09 0.3908 0
91 92 0.0994 6.156733e+09 0.0000 0
91 95 0.0994 7.716427e+09 0.0000 0
91 99 0.0994 3.343026e+09 0.0000 0
91 101 0.0994 3.401183e+09 0.1376 0
91 102 0.0994 3.922989e+09 0.0000 0
91 106 0.0994 5.051380e+09 0.0000 0
91 110 0.0994 6.968535e+09 0.0000 0
91 112 0.0994 3.510969e+09 0.0000 0
91 115 0.0994 6.590634e+09 0.0000 0
91 116 0.0994 6.744605e+09 11.6982 0
91 118 0.0994 4.639001e+09 0.0000 0
91 119 0.0994 5.483419e+09 0.0000 0
91 122 0.0994 4.842685e+09 0.0000 0
91 127 0.0994 3.674538e+09 0.0000 0
91 133 0.0994 4.575260e+09 0.0000 0
91 137 0.0994 3.966184e+09 0.0000 0
91 139 0.0994 5.960988e+09 0.0000 0
91 141 0.0994 4.572336e+09 0.0000 0
91 143 0.0994 4.072427e+09 0.0000 0
91 151 0.0994 4.663173e+09 0.0000 0
91 153 0.0994 3.587396e+09 0.0000 0
91 158 0.0994 4.094785e+09 0.0000 0
91 161 0.0994 4.833858e+09 0.0000 0
91 163 0.0994 4.218205e+09 0.0000 0
91 171 0.0994 3.413631e+09 0.0000 0
91 174 0.0994 4.405837e+09 0.0000 0
91 176 0.0994 4.432575e+09 0.0000 0
91 178 0.0994 3.893841e+09 0.0000 0
91 185 0.0994 3.506456e+09 0.0000 0
91 187 0.0994 3.701560e+09 0.0000 0
91 194 0.0994 3.550739e+09 0.0000 0
91 202 0.0994 3.825591e+09 0.0000 0
91 203 0.0994 3.778521e+09 0.0000 0
91 219 0.0994 3.331951e+09 0.0000 0
91 13200 0.0994 2.276575e+12 0.0000 1
91 13201 0.0994 4.076107e+11 1.8631 0
91 13202 0.0994 1.283722e+11 0.3812 0
91 13203 0.0994 2.189499e+11 1.6933 0
91 13204 0.0994 1.642730e+11 0.0000 0
91 13205 0.0994 1.527115e+11 0.0115 0
91 13206 0.0994 1.512140e+11 0.1612 0
91 13207 0.0994 2.557784e+11 0.0000 0
91 13208 0.0994 1.265652e+11 0.0000 0
91 13209 0.0994 1.144143e+11 0.1207 0
91 13210 0.0994 5.542602e+10 0.0000 0
91 13211 0.0994 6.332722e+10 0.0000 0
91 13212 0.0994 6.434554e+10 0.0000 0
91 13213 0.0994 3.356921e+10 0.0000 0
91 13214 0.0994 1.063117e+11 0.0000 0
91 13215 0.0994 6.146161e+10 1.3722 0
91 13216 0.0994 8.598533e+10 0.0000 0
91 13217 0.0994 4.135196e+10 0.0000 0
91 13218 0.0994 8.598309e+10 0.0000 0
91 13219 0.0994 2.720155e+10 2.9182 0
91 13220 0.0994 3.394547e+10 6.2803 0
91 13221 0.0994 6.138362e+10 0.0000 0
91 13222 0.0994 4.658804e+10 0.0000 0
91 13223 0.0994 2.618426e+10 0.1249 0
91 13224 0.0994 3.679424e+10 0.0000 0
91 13225 0.0994 2.827848e+10 0.0000 0
91 13226 0.0994 2.076127e+10 0.0000 0
91 13227 0.0994 3.508547e+10 0.0000 0
91 13228 0.0994 2.954090e+10 0.0000 0
91 13229 0.0994 1.944869e+10 1.4477 0
91 13230 0.0994 3.446020e+10 0.0000 0
91 13231 0.0994 2.331440e+10 0.0000 0
91 13232 0.0994 2.100992e+10 0.7204 0
91 13233 0.0994 1.934049e+10 0.0000 0
91 13234 0.0994 2.102068e+10 0.5577 0
91 13235 0.0994 1.251192e+10 0.4110 0
91 13236 0.0994 1.296409e+10 1.8424 0
91 13237 0.0994 4.318302e+10 0.0000 0
91 13238 0.0994 1.955116e+10 0.0000 0
91 13239 0.0994 1.231724e+10 0.9967 0
91 13240 0.0994 1.954811e+10 0.0000 0
91 13241 0.0994 6.940565e+09 0.5295 0
91 13242 0.0994 1.519629e+10 0.0000 0
91 13243 0.0994 1.468005e+10 0.3091 0
91 13244 0.0994 2.660350e+10 0.0000 0
91 13245 0.0994 1.620635e+10 0.0974 0
91 13246 0.0994 2.115154e+10 0.0000 0
91 13247 0.0994 1.346557e+10 0.8999 0
91 13248 0.0994 3.339923e+10 0.0000 0
91 13249 0.0994 2.214235e+10 0.0000 0
91 13250 0.0994 1.083820e+10 0.1414 0
91 13251 0.0994 2.652357e+10 0.0000 0
91 13252 0.0994 2.937968e+10 0.0000 0
91 13253 0.0994 2.201280e+10 0.0000 0
91 13254 0.0994 2.765832e+10 0.0000 0
91 13255 0.0994 2.520534e+10 0.0000 0
91 13256 0.0994 1.288492e+10 0.0000 0
91 13257 0.0994 7.055597e+09 0.2942 0
91 13258 0.0994 9.118638e+09 0.0000 0
91 13259 0.0994 1.333046e+10 0.0715 0
91 13260 0.0994 1.135705e+10 0.0000 0
91 13261 0.0994 2.555961e+10 0.0000 0
91 13262 0.0994 5.119469e+09 0.0974 0
91 13263 0.0994 1.477548e+10 0.0000 0
91 13264 0.0994 1.391709e+10 0.0000 0
91 13265 0.0994 9.592242e+09 0.6240 0
91 13266 0.0994 1.026162e+10 1.3309 0
91 13267 0.0994 9.152137e+09 0.2983 0
91 13268 0.0994 8.821288e+09 0.0000 0
91 13269 0.0994 1.266744e+10 0.0000 0
91 13270 0.0994 2.560728e+10 0.0000 0
91 13271 0.0994 2.884773e+10 0.0000 0
91 13272 0.0994 2.632117e+10 0.0000 0
91 13273 0.0994 1.009283e+10 0.0000 0
91 13274 0.0994 6.065551e+09 0.4450 0
91 13275 0.0994 2.029089e+10 0.0000 0
91 13276 0.0994 2.510956e+10 0.0000 0
91 13277 0.0994 1.071385e+10 0.2711 0
91 13279 0.0994 8.305286e+09 1.1400 0
91 13280 0.0994 3.731855e+09 0.8964 0
91 13281 0.0994 1.811333e+10 0.0000 0
91 13282 0.0994 2.053206e+10 0.0000 0
91 13283 0.0994 1.408211e+10 0.2596 0
91 13284 0.0994 2.435305e+10 0.0000 0
91 13285 0.0994 1.151594e+10 0.0000 0
91 13286 0.0994 5.209437e+09 0.4973 0
91 13287 0.0994 1.003591e+10 0.0000 0
91 13288 0.0994 8.813540e+09 0.0000 0
91 13289 0.0994 1.111788e+10 0.2305 0
91 13290 0.0994 7.664339e+09 0.1525 0
91 13291 0.0994 9.808261e+09 0.0000 0
